Date,Title,Time,Location,Summary,Link
2025-10-24,"Mini-2 Add, Audit &amp; Tuition Adjustment Drop Deadline",All Day,,,https://events.cmu.edu/event/21995-mini-2-add-audit-tuition-adjustment-drop
2025-10-24,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-24,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-10-25,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-25,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-10-25,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-10-25,ISO Digital Scavenger Hunt,All Day,Online,,https://events.cmu.edu/event/26159-iso-digital-scavenger-hunt
2025-10-25,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-25,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-10-26,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-26,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-10-26,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-10-26,ISO Digital Scavenger Hunt,All Day,Online,,https://events.cmu.edu/event/26159-iso-digital-scavenger-hunt
2025-10-26,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-26,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-10-27,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-27,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-10-27,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-10-27,ISO Digital Scavenger Hunt,All Day,Online,,https://events.cmu.edu/event/26159-iso-digital-scavenger-hunt
2025-10-27,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-27,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-10-28,Study Abroad Coffee Hour,1761663600,,All students are welcome to join and ask the Study Abroad team any questions they may have.,https://events.cmu.edu/event/25476-study-abroad-coffee-hour
2025-10-28,Libraries Workshop: Arts x EShip - Crafting a Business Plan &amp; Pitch,1761667200,Online,,https://events.cmu.edu/event/24851-libraries-workshop-arts-x-eship-crafting-a
2025-10-28,Swartz Center CONNECTS Seminar Series,1761669000,"Swartz Center for Entrepreneurship, Tepper Building, or Zoom",The Swartz Center for Entrepreneurship’s CONNECTS seminar series enhances the experiential education of any individual interested in innovation and entrepreneurship.,https://events.cmu.edu/event/23704-swartz-center-connects-seminar-series
2025-10-28,Film Screening: Bad Press,1761685800,Posner Hall (room TBD),"Join us for a screening of the Sundance award-winning documentary Bad Press, which follows Muscogee journalist Angel Ellis as she challenges her nation’s sudden censorship of the press.",https://events.cmu.edu/event/film-bad-press
2025-10-28,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-28,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-10-28,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-10-28,ISO Digital Scavenger Hunt,All Day,Online,,https://events.cmu.edu/event/26159-iso-digital-scavenger-hunt
2025-10-28,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-28,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-10-29,"Staff Supervisory Awareness Program: Session 402, Performance Management: Addressing Challenging Employee Issues",1761742800,,"This session will help supervisors communicate expectations and responsibilities, document and investigate employee performance, practice strategies for giving constructive feedback to team members with performance issues, learn when and how to reach out to your HR business partner, and understand progressive discipline and the corrective actions available for employees who are struggling to meet performance expectations.",https://events.cmu.edu/event/22345-staff-supervisory-awareness-program-session-402
2025-10-29,Libraries Workshop: Conducting Scoping Reviews to Understand the Research Landscape,1761750000,Online,,https://events.cmu.edu/event/24853-libraries-workshop-conducting-scoping-reviews-to
2025-10-29,AI-SDM Seminar Series: Doron Cohen,1761753600,Newell-Simon Hall 4305 or Zoom,,https://events.cmu.edu/event/25175-ai-sdm-seminar-series-doron-cohen
2025-10-29,Swartz Center CONNECTS Seminar Series,1761755400,"Swartz Center for Entrepreneurship, Tepper Building, or Zoom",The Swartz Center for Entrepreneurship’s CONNECTS seminar series enhances the experiential education of any individual interested in innovation and entrepreneurship.,https://events.cmu.edu/event/23702-swartz-center-connects-seminar-series
2025-10-29,CMIST’s Politics &amp; Pie,1761771600,"Posner Hall, Grand Room (Posner 340)","Stop by to talk with CMIST faculty, academic advisors and your peers to learn about the wide variety of international relations and political science courses offered by CMIST in spring 2026 - all while enjoying delicious pie from Piebird!",https://events.cmu.edu/event/25238-cmists-politics-pie
2025-10-29,Paws to Relax: Weekly Pet Therapy Program,1761777000,"Well-being Lab (Room 104), Wellness &amp; Meaning-Making Suite, First Floor, Highmark Center for Health, Wellness and Athletics","Volunteers through Animal Friend’s Therapet program will join us on Wednesdays, from 6:30-7:30 p.m., to offer some friendly dog companions for the hour.",https://events.cmu.edu/event/23773-paws-to-relax-weekly-pet-therapy-program
2025-10-29,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-29,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-10-29,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-10-29,ISO Digital Scavenger Hunt,All Day,Online,,https://events.cmu.edu/event/26159-iso-digital-scavenger-hunt
2025-10-29,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-29,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-10-30,Libraries Workshop: Communicating Data: R Shiny,1761840000,Online,,https://events.cmu.edu/event/24854-libraries-workshop-communicating-data-r-shiny
2025-10-30,Swartz Center CONNECTS Seminar Series,1761841800,"Swartz Center for Entrepreneurship, Tepper Building, or Zoom",The Swartz Center for Entrepreneurship’s CONNECTS seminar series enhances the experiential education of any individual interested in innovation and entrepreneurship.,https://events.cmu.edu/event/23701-swartz-center-connects-seminar-series
2025-10-30,Libraries Workshop: SQL Fundamentals,1761843600,"Sorrells Library Den, Wean Hall",,https://events.cmu.edu/event/24855-libraries-workshop-sql-fundamentals
2025-10-30,"Libraries Workshop: From Folklore to “Fact”: Researching urban legends, supernatural sightings, and haunted ecologies using primary source methods",1761854400,"Hunt Library, Room 308",,https://events.cmu.edu/event/24856-libraries-workshop-from-folklore-to-fact
2025-10-30,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-30,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-10-30,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-10-30,ISO Digital Scavenger Hunt,All Day,Online,,https://events.cmu.edu/event/26159-iso-digital-scavenger-hunt
2025-10-30,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-30,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-10-31,Libraries Workshop: Series: Getting Started with C/C++,1761917400,Online,,https://events.cmu.edu/event/24858-libraries-workshop-series-getting-started-with-cc
2025-10-31,Libraries Workshop: Advanced Research Note-Taking with Obsidian,1761930000,"Sorrells Library Den, Wean Hall",,https://events.cmu.edu/event/24861-libraries-workshop-advanced-research-note-taking
2025-10-31,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-31,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-10-31,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-10-31,ISO Digital Scavenger Hunt,All Day,Online,,https://events.cmu.edu/event/26159-iso-digital-scavenger-hunt
2025-10-31,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-31,Samhain Begins,All Day,,"Pronounced “saah-win,” Samhain is a Wiccan and Neo-pagan harvest celebration with spiritual awareness of and connection with one’s departed ancestors.",https://events.cmu.edu/event/22033-samhain-begins
2025-10-31,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-11-01,(Men’s Soccer) Rochester (N.Y.) vs. Carnegie Mellon,1762009200,,,https://events.cmu.edu/event/23863-mens-soccer-rochester-ny-vs-carnegie-mellon
2025-11-01,(Women’s Soccer) Rochester (N.Y.) vs. Carnegie Mellon,1762018200,,,https://events.cmu.edu/event/23862-womens-soccer-rochester-ny-vs-carnegie-mellon
2025-11-01,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-11-01,All Saints’ Day,All Day,,"All Saints’ Day is honored by many Western Christians, in gratitude for saints who have gone before.",https://events.cmu.edu/event/22035-all-saints-day
2025-11-01,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-11-01,Día de Los Muertos Begins,All Day,,"Día de Los Muertos is a Mexican holiday associated with All Saints’ Day, celebrated by praying for and remembering departed friends and family members.",https://events.cmu.edu/event/22036-dia-de-los-muertos-begins
2025-11-01,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-11-01,Native American Heritage Month Begins,All Day,,,https://events.cmu.edu/event/25614-native-american-heritage-month-begins
2025-11-01,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-11-01,Samhain Ends,All Day,,"Pronounced “saah-win,” Samhain is a Wiccan and Neo-pagan harvest celebration with spiritual awareness of and connection with one’s departed ancestors.",https://events.cmu.edu/event/22034-samhain-ends
2025-11-01,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-11-02,Carnegie Mellon Philharmonic,1762129800,"Carnegie Music Hall, Oakland @ 4400 Forbes Avenue, Pittsburgh, Pennsylvania, 15213, United States",,https://events.cmu.edu/https://events.time.ly/vdibqnd/43901187
2025-11-02,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-11-02,Anniversary of the Crowning of Haile Salassie,All Day,,,https://events.cmu.edu/event/22038-anniversary-of-the-crowning-of-haile-salassie
2025-11-02,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-11-02,Día de Los Muertos Ends,All Day,,"Día de Los Muertos is a Mexican holiday associated with All Saints’ Day, celebrated by praying for and remembering departed friends and family members.",https://events.cmu.edu/event/22037-dia-de-los-muertos-ends
2025-11-02,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-11-02,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-11-02,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-11-03,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-11-03,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-11-03,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-11-03,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-11-03,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-11-04,Employee Retention,1762270200,,High staff turnover presents significant challenges for supervisors. In this session you will gain an in-depth understanding of one employee retention tool – the stay interview – and explore additional strategies to promote employee engagement.,https://events.cmu.edu/event/22333-employee-retention
2025-11-04,Monthly Gratitude Gathering,1762275600,,"Join us for a virtual gratitude gathering on the last Tuesday of every month to pause, reflect and appreciate the goodness in our lives.",https://events.cmu.edu/event/23782-monthly-gratitude-gathering
2025-11-04,Libraries Workshop: Mining Microhistories: How to Extract Data from Historical Print Sources [Hybrid],1762288200,"Hybrid — Hunt Library, Room 308 and Online",,https://events.cmu.edu/event/24863-libraries-workshop-mining-microhistories-how-to
2025-11-04,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-11-04,Democracy Day; No Classes (evening classes after 5pm will still meet),All Day,,,https://events.cmu.edu/event/21994-democracy-day-no-classes-evening-classes-after-5pm
2025-11-04,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-11-04,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-11-04,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-11-05,"Staff Supervisory Awareness Program: Session 403, Employee Retention",1762351200,,High staff turnover presents significant challenges for supervisors. In this session you will gain an in-depth understanding of one employee retention tool – the stay interview – and explore additional strategies to promote employee engagement.,https://events.cmu.edu/event/22346-staff-supervisory-awareness-program-session-403
2025-11-05,Benefits &amp; Fitness Fair,1762354800,Cohon University Center,The Benefits & Fitness Fair is an opportunity to meet with CMU’s benefit providers and representatives from the Office of Human Resources to learn about your 2026 benefits options.,https://events.cmu.edu/event/23529-benefits-fitness-fair
2025-11-05,"Libraries Workshop: Breathe, Reset, and Connect with Your Heart [Virtual]",1762362000,Online,,https://events.cmu.edu/event/24862-libraries-workshop-breathe-reset-and-connect-with
2025-11-05,Study Abroad Pre-Departure Session,1762362000,"Cohon University Center, Danforth Conference Room",Attending one pre-departure orientation is required for all study abroad students.,https://events.cmu.edu/event/25477-study-abroad-pre-departure-session
2025-11-05,Swartz Center CONNECTS Seminar Series,1762363800,"Swartz Center for Entrepreneurship, Tepper Building, or Zoom",The Swartz Center for Entrepreneurship’s CONNECTS seminar series enhances the experiential education of any individual interested in innovation and entrepreneurship.,https://events.cmu.edu/event/23700-swartz-center-connects-seminar-series
2025-11-05,Spring Courses to Get You Out of the Classroom,1762381800,Baker Hall A36 - Adamson Wing,"Interested in undergraduate research, gaining hands-on experience, or learning in a more exciting or nontraditional setting?",https://events.cmu.edu/event/26155-spring-courses-to-get-you-out-of-the-classroom
2025-11-05,Paws to Relax: Weekly Pet Therapy Program,1762385400,"Well-being Lab (Room 104), Wellness &amp; Meaning-Making Suite, First Floor, Highmark Center for Health, Wellness and Athletics","Volunteers through Animal Friend’s Therapet program will join us on Wednesdays, from 6:30-7:30 p.m., to offer some friendly dog companions for the hour.",https://events.cmu.edu/event/23774-paws-to-relax-weekly-pet-therapy-program
2025-11-05,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-11-05,Guru Nanak Ji’s Birthday,All Day,,,https://events.cmu.edu/event/22039-guru-nanak-jis-birthday
2025-11-05,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-11-05,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-11-05,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-11-06,CMU Mobile Polar Plunge,1762444800,Donner Ditch,"The Polar Plunge is coming to CMU’s campus! Kick off homecoming weekend and support Special Olympics Pennsylvania by jumping into the mobile plunge unit, Bear Force One!",https://events.cmu.edu/event/25560-cmu-mobile-polar-plunge
2025-11-06,Libraries Workshop: Communicating Data: Power BI,1762448400,Online,,https://events.cmu.edu/event/24864-libraries-workshop-communicating-data-power-bi
2025-11-06,Power of Possibilities President’s Lecture and 125th Anniversary Kickoff,1762462800,TBD,"A CMU125 at Homecoming Weekend event featuring CMU alumnus Luis von Ahn, CEO and co-founder of Duolingo.",https://events.cmu.edu/event/26145-power-of-possibilities-presidents-lecture-and
2025-11-06,Study Abroad Pre-Departure Session,1762464600,TBD,Attending one pre-departure orientation is required for all study abroad students.,https://events.cmu.edu/event/25478-study-abroad-pre-departure-session
2025-11-06,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-11-06,CMU125 at Homecoming Weekend,All Day,CMU Main Campus,Tartans are coming home to celebrate Homecoming Weekend and CMU’s 125th anniversary with a full slate of family-friendly events!,https://events.cmu.edu/event/26166-cmu125-at-homecoming-weekend
2025-11-06,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
