,Dealer or Individual?,Price,Year,Location,Mileage,Doors,Color,Engine,Description,Web Link
16,0,24998.0,2020,"Columbus, Easton",46000.0,4,black,"4-cyl, 1.5L",Single user owned,https://www.carmax.com/car/27487522
17,1,29445.0,2025,Columbus,12431.0,4,white,1.5T I4 DOHC 16V Turbocharged VTEC,29/37 City/Highway MPG,https://www.lindsayhonda.com/inventory/new-2025-honda-accord-lx-fwd-4d-sedan-1hgcy1f26sa019297/
18,0,22790.0,2024,"1875 Brittain Road, Akron, OH 44310",15590.0,4,Platinum White Pearl,"1.5L I-4 gasoline direct injection, DOHC, i-VTEC variable valve","CARFAX One-Owner. Priced below KBB Fair Purchase Price!Platinum White Pearl 2024 Honda Accord EX 4D Sedan CVT 1.5T I4 DOHC 16V Turbocharged VTEC FWDSTOP OVERPAYING!!! SAVE THOUSANDS ON BOTH - YOUR CAR PURCHASE AND A FINANCING TOGETHER!!! YOU CAN'T MISS THIS DEAL!!! JUST TAKE A LOOK!!! KBB prices reflects a value of the vehicle for the vehicle published by Kelly Blue Book within the last 60 days.Financing is available for all credit situations. The financing team at North Coast Auto Mall has decades of experience and wide-ranging lending relationships to get you financed on the vehicle of your dreams! Visit us online at www.AkronAutoMall.com Here, at North Coast Auto Mall, we are proud to offer low mile, late model inventory at incredible prices. All of our vehicles are inspected and reconditioned by ASE certified technicians. North Coast Auto Mall sets out to offer all clients great prices, flexible financing terms, high-quality vehicles, and a thoroughly transparent buying process. Please call us today to begin your purchase!Sunroof, Keyless start, Forward collision warning, Blind spot warning, Power driver seat, Black w/Fabric Seat Trim, ABS brakes, Adaptive Cruise Control: Adaptive Cruise Control (ACC) with Low-Speed Follow, Apple CarPlay/Android Auto, Auto High-beam Headlights, Automatic temperature control, Compass, Electronic Stability Control, Exterior Parking Camera Rear, Fully automatic headlights, Illuminated entry, Lane departure: Lane Keeping Assist System (LKAS) active, Low tire pressure warning, Remote keyless entry, Traction control, Wheels: 17'' x 7.5'' Blade Silver.",https://www.cars.com/vehicledetail/1453375d-a028-46e2-8467-0c8049b8fc37/?attribution_type=se_rp
19,0,18250.0,2016,"Madison, WI",74318.0,4,Black,6 Cyl,"CLEAN CAR, GOOD SERVICE RECORDS, DUAL POWER HEATED LEATHER SEATS, BLUE TOOTH , FACTORY NAVIGATION, POWER MOON ROOF, PUSH BUTTON START, AUTOMATIC HVAC, RUNS AND DRIVES VERY WELL. Visit our website http://www.Championmotorcar.Com for more information and photos on this or any of our other vehicles or call us today for a test drive at 815-636-2500.We try and price evrthing on our lot the best value between 40 and 50 miles on cars.com. We service everthing also, by trained tech's. Most of all we truly thank you for visiting and/or considering our vehicles. If there is anything we can do for you please let us know. Thanks again for visiting us.",https://www.carfax.com/vehicle/1HGCR3F90GA030146
21,0,8497.0,2014,"1794 Maplelawn Road Troy, MI 48084",194547.0,4,white,6 Cyl,"White Orchid Pearl 2014 Honda Accord Touring FWD 6-Speed Automatic 3.5L V6 SOHC i-VTEC 24V Ivory w/Perforated Leather-Trimmed Seats.  Price does not include licensing costs, registration fees, taxes, $899 reconditioning expense and dealer doc fee of $280, which are to be paid by the consumer. Recent Arrival! 21/34 City/Highway MPG  Awards: * 2014 IIHS Top Safety Pick+ * Green Car Journal 2014 Green Car of the Year * 2014 KBB.com Brand Image Awards Kelley Blue Book Brand Image Awards are based on the Brand Watch(tm) study from Kelley Blue Book Market Intelligence. Award calculated among non-luxury shoppers. For more information, visit www.kbb.com. Kelley Blue Book is a registered trademark of Kelley Blue Book Co., Inc. Based on 2017 EPA mileage ratings. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions and other factors.   Reviews: * Beyond its history of reliability and high resale value, the Accord is now more varied than ever. Whether you want a no-fuss and highly economical sedan, a sporty V6-powered coupe or a hybrid that attains 50 mpg in the city, the 2014 Accord offers something for everyone. Source: KBB.com",https://www.carfax.com/vehicle/1HGCR3F98EA029937
22,0,23170.0,2022,"15100 Eureka Rd Southgate, MI 48195",71003.0,4,Gray,4 Cyl,"Sonic Gray Pearl **ANDROID AUTO**, **APPLE CAR PLAY**, **LOCAL TRADE**, **ONE OWNER**, NO ACCIDENT, 2.0L 4-Cylinder DOHC 16V i-VTEC. Certified. HondaTrue Certified Details:  * Vehicles purchased within New Vehicle Limited Warranty period: extends New Vehicle Limited Warranty to 5 years*/60,000 miles*. Honda Care Roadside Assistance for 2 year/100,000 miles (whichever occurs first). Up to two complimentary oil changes within the first year of ownership. SiriusXM 90-Day Trial. * Warranty Deductible: $0 * Transferable Warranty * Roadside Assistance * Limited Warranty: 24 Month/100,000 Mile (whichever comes first) after new car warranty expires or from certified purchase date * Vehicle History * 182 Point Inspection * Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date",https://www.carfax.com/vehicle/1HGCV3F20NA030109
24,0,18990.0,2018,"3388 South Arlington Road, Akron, OH 44312",91285.0,4, Lunar Silver Metallic, 1.5L I4 16V GDI DOHC Turbo,"Reliable, Fuel-Efficient, and Tech-Ready - 2018 Honda Accord LX Sedan Near You in Akron, Ohio Drive with confidence in this 2018 Honda Accord LX near you in Akron, Ohio, a top choice for commuters and families alike. Powered by a 1.5L Turbocharged I4 engine paired with a smooth CVT, this Accord delivers an impressive 38 MPG highway while offering a refined and responsive ride. With 91,281 miles and a Clean CARFAX, it's a smart, efficient choice with Honda's legendary reputation for durability. Top Features for Comfort and Convenience: Backup Camera: Enhanced safety when reversing or parking Automatic Climate Control: Keeps cabin temperature just right without constant adjustment Dual-Zone A/C: Personalized comfort for both driver and front passenger Illuminated Entry: Convenient and welcoming lighting when approaching your Accord Bluetooth Connectivity: Hands-free calling and audio streaming for safer, smarter driving Push Button Start: Modern convenience at your fingertips Interior & Exterior Design: Finished in sleek Lunar Silver Metallic with a clean Black cloth interior, this Accord offers a spacious cabin, refined materials, and user-friendly controls making every commute or road trip in and around Akron, Ohio enjoyable. Why Buy This 2018 Honda Accord LX Near You in Akron, Ohio? With excellent fuel efficiency, advanced standard features, and proven reliability, this Accord delivers real value. It's a practical, comfortable sedan that checks all the boxes for everyday driving. Fred Martin Nissan Exclusive Benefits: Free 15-Day Love It or Leave It Guarantee Free Lifetime Powertrain Limited Warranty Free Carfax Buyback Guarantee Free Oil Changes for 3 Years Free No Lemon Guarantee Free Roadside Assistance for 3 Years (Some restrictions apply. See written documents for complete details.)",https://www.cars.com/vehicledetail/5f40ba31-1be2-48f1-b9e9-374e1251002d/?attribution_type=se_rp
25,0,18990.0,2013,"Bridgeville, PA",42012.0,4,gray,"4-Cyl, PZEV, 2.4 Liter","The 2013 Honda Accord EX-L Sedan offers a comfortable and reliable ride with a suite of features that still provide value today. This sedan provides a smooth driving experience and practical technology, making it a solid choice for those seeking a dependable and well-rounded vehicle. Its reputation for longevity and smart design ensures continued satisfaction for years to come.",https://www.carvana.com/vehicle/3782324?refSource=srp
26,0,12000.0,2018,,20256.0,4,blue,158 hp 2L I4,,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=415806287&entitySelectingHelper.selectedEntity=d585&zip=15237&pid=directVDPSimilarListing#listing=415806287
27,0,8911.0,2012,"475 Summit Dr Waterford, MI 48328",108467.0,4,Gray,4 Cyl,"Odometer is 17004 miles below market average! 23/34 City/Highway MPG  Polished Metal Metallic 2012 Honda Accord LX-P 2.4 FWD 5-Speed Automatic with Overdrive 2.4L I4 DOHC i-VTEC 16V  GOOD TIRES, GOOD BRAKES, REAR BACK UP CAMERA, RECENT TRADE IN, Accord LX-P 2.4, 4D Sedan, 2.4L I4 DOHC i-VTEC 16V, 5-Speed Automatic with Overdrive, FWD, Polished Metal Metallic, Gray w/Cloth Seat Trim, 16"" x 6.5"" Alloy Wheels, 160-Watt AM/FM/CD Audio System, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio, Anti-whiplash front head restraints, Brake assist, Bumpers: body-color, CD player, Cloth Seat Trim, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front reading lights, Illuminated entry, Low tire pressure warning, Occupant sensing airbag, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power driver seat, Power steering, Power windows, Radio data system, Rear anti-roll bar, Rear seat center armrest, Rear window defroster, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Speed-Sensitive Wipers, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Variably intermittent wipers, Accord LX-P 2.4, 4D Sedan, 2.4L I4 DOHC i-VTEC 16V, 5-Speed Automatic with Overdrive, FWD, Polished Metal Metallic, Gray w/Cloth Seat Trim, 16"" x 6.5"" Alloy Wheels, 160-Watt AM/FM/CD Audio System, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio, Anti-whiplash front head restraints, Brake assist, Bumpers: body-color, CD player, Cloth Seat Trim, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front reading lights, Illuminated entry, Low tire pressure warning, Occupant sensing airbag, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power driver seat, Power steering, Power windows, Radio data system, Rear anti-roll bar, Rear seat center armrest, Rear window defroster, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Speed-Sensitive Wipers, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Variably intermittent wipers.  Awards: * Car and Driver 10 Best Cars * 2012 IIHS Top Safety Pick * 2012 KBB.com Brand Image Awards Kelley Blue Book Brand Image Awards are based on the Brand Watch(tm) study from Kelley Blue Book Market Intelligence. Award calculated among non-luxury shoppers. For more information, visit www.kbb.com. Kelley Blue Book is a registered trademark of Kelley Blue Book Co., Inc. Car and Driver, January 2017.  Joe knows used cars. Reviews: * The 2012 Accord Sedan combines outstanding value, excellent driving dynamics, a roomy and comfortable passenger cabin, and sporty styling vaguely similar to some BMW sedans. If your budget says “simple family sedan,” but your brain says “I deserve better,” you’ll probably find the Accord sedan can satisfy both needs. Source: KBB.com",https://www.carfax.com/vehicle/1HGCP2F43CA063379
28,0,12000.0,2014,,107729.0,4,red,2.4L I4 DOHC i-VTEC 16V,na,https://www.cochransubaru.com/inventory/1HGCR2F53EA062884/?store=1CSUBM003&sd_campaign=00-SUB-NA_CNS_InMarket_New_VLA_PMAX_VLA%20New&sd_digadprov=dealerinspire&sd_channel=vehiclelisting&sd_campaign_type=google&sd_program=tier3&sd_adid=&sd_digadcid=21077359841&sd_adgroup=00-SUB-NA_CNS_InMarket_New_VLA_PMAX_VLA%20New&sd_keyword=&cars_ad_id=&cars_channel=vehiclelisting&cars_platform_account_id=4435164374&cars_platform=google&cars_fuel_id=6328&gaw_ad_group_id=&gaw_campaign_id=21077359841&gad_source=1&gad_campaignid=21080552824&gbraid=0AAAAAqq-jcXe7TFGvIxjd318_zVH4mhPa&gclid=Cj0KCQjw_L_FBhDmARIsAItqgt7rO6McWBhUOhlyakW0SsbaIzpq11QSilL2xGRDGeoXD4hSUe3NUTIaAlNmEALw_wcB
